Shopping Mall Name,Location,Address,Latitude,Longitude,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,SearchVal,Postal
Orchard Plaza,,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841,1.30126533,103.84115179999999,,,,,,,,,,,ORCHARD PLAZA,238841
Midpoint Orchard,,220 ORCHARD ROAD MIDPOINT ORCHARD SINGAPORE 238852,1.301783782,103.8386606,,,,,,,,,,,MIDPOINT ORCHARD,238852
Orchard Shopping Centre,,321 ORCHARD ROAD ORCHARD SHOPPING CENTRE SINGAPORE 238866,1.301484998,103.83788829999999,,,,,,,,,,,ORCHARD SHOPPING CENTRE,238866
Palais Renaissance,,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871,1.306654845,103.829588,,,,,,,,,,,PALAIS RENAISSANCE,238871
People's Park Centre,"Outram, Singapore",101B UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058359,1.285757742,103.8439298,1973; 47 years ago,,HBA Group Property Consultants Pte Ltd,Management Corporation Strata Title 0393,,,, NE4  DT19  Chinatown,,,PEOPLE'S PARK CENTRE,058359
People's Park Complex,"1 Park Road, Singapore 059108 ( NE4  DT19  Chinatown)",1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,1.284128626,103.8425848,,,,People's Park Development,,,,,,,PEOPLE'S PARK COMPLEX,059108
Plaza Singapura,Singapore,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839,1.300820718,103.8450673,14 September 1974; 46 years ago,DBS Land,CapitaMalls Asia,CapitaMall Trust,320,9,, NS24  NE6  CC1  Dhoby Ghaut,,www.plazasingapura.com.sg,PLAZA SINGAPURA,238839
PoMo,,,,,,,,,,,,,,,-1,
Raffles City,"City Hall, Downtown Core, Singapore",250 NORTH BRIDGE ROAD DBS RAFFLES CITY BRANCH SINGAPORE 179101,1.294083047,103.8533395,,Tincel Properties,CapitaLand,"CapitaCommercial Trust
CapitaMall Trust",,,,,,,DBS RAFFLES CITY BRANCH,179101
Scotts Square,,SCOTTS SQUARE,1.3057629240000002,103.8330834,,,,,,,,,,,SCOTTS SQUARE,NIL
Serangoon Plaza,,320 SERANGOON ROAD SERANGOON PLAZA SINGAPORE 218108,1.310780752,103.8551468,,,,,,,,,,,SERANGOON PLAZA,218108
Shaw House and Centre,Singapore,350 Orchard Road,1.305833333,103.83152779999999,1993,Shaw Organisation,Shaw Organisation,Shaw Organisation,12,22,," TE13  Orchard Boulevard
 NS22  TE14  Orchard",,shaw.com.sg,-1,
Sim Lim Square,Singapore,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,1.303022985,103.85287559999999,January 1987; 33 years ago,,,,151,"6 above-ground
2 basement floors",, DT13  Rochor,,www.simlimsquare.com.sg,SIM LIM SQUARE,188504
Singapore Shopping Centre,,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE SINGAPORE 239924,1.2981321479999999,103.8441384,,,,,,,,,,,SINGAPORE SHOPPING CENTRE,239924
The South Beach,,38 BEACH ROAD THE SOUTH BEACH SINGAPORE 189767,1.2949880440000001,103.8562762,,South Beach Consortium Pte Ltd (City Developments Limited and IOI Group),,,,,,,,,THE SOUTH BEACH,189767
Square 2,,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506,1.320612586,103.8443315,,,,,,,,,,,SQUARE 2,307506
Suntec City,,SUNTEC CITY,1.295466756,103.85858499999999,,,,,,,,,,,SUNTEC CITY,NIL
Tanglin Mall,,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,1.304853421,103.8238835,,,,,,,,,,,TANGLIN MALL,247933
Tangs,,320 ORCHARD ROAD DBS TANGS ORCHARD SINGAPORE 238865,1.304950056,103.8329711,,,,,,,,,,http://www.tangs.com/,DBS TANGS ORCHARD,238865
Tanjong Pagar Centre,"Tanjong Pagar, Central Business District, Singapore",5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883,1.276609528,103.8461808,,GuocoLand Limited,,,,,,,,,TANJONG PAGAR CENTRE,078883
Tekka Centre,"Little India, Singapore  NE7  DT12  Little India",665 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210665,1.30617773,103.85061,,,,,,,,,,,ZHUJIAO CENTRE (TEKKA MARKET),210665
The Paragon,Singapore,290 ORCHARD ROAD THE PARAGON SINGAPORE 238859,1.3039493640000002,103.8358442,1998,,SPH Retail Property Management Services,Orchard 290 Ltd,196,"6 (retail)
14 (medical)",," NS23  Somserset
 NS22  TE14  Orchard",,paragon.com.sg,THE PARAGON,238859
Tiong Bahru Plaza,"Tiong Bahru Road, Singapore",302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732,1.2864712,103.8271583,Nov-94,UOL Limited,AsiaMalls Management,ARMF (TBP) Private Limited,167 (6 levels inclusive of 1 basement level),"9 (6 shopping floors, 3 carpark floors)",, EW17  Tiong Bahru,,Tiong Bahru Plaza,TIONG BAHRU PLAZA,168732
Thomson Plaza,"Upper Thomson Road, Singapore",4D MARIGOLD DRIVE THOMSON PLAZA SINGAPORE 576389,1.3543252419999998,103.8303281,1979,DBS Land,Knight Frank Asset Management Pte Ltd,Mercatus Co-operative Limited,154,4,,,,Official website,THOMSON PLAZA,576389
Velocity,,238B THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307685,1.319295425,103.84419140000001,,,,,,,,,,,VELOCITY @ NOVENA SQUARE,307685
Wheelock Place,"Orchard, Singapore",501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880,1.30453636,103.8307142,1993,Wharf Estates Singapore,Wharf Estates Singapore,Wharf Estates Singapore,26,23,,,,wheelockplace.com,WHEELOCK PLACE,238880
