Station Code,Station Status,Station Address,Opening Date,Planning Area,Connection(s)
NS7,Operating,Kranji MRT Station,10-Feb-96,Sungei Kadut,
CC27,Operating,Labrador Park MRT Station,8-Oct-11,Bukit Merah,
EW26,Operating,Lakeside MRT Station,5-Nov-88,Jurong West,
EW11,Operating,Lavender MRT Station,4-Nov-89,Kallang,
TE5,Future,Lentor MRT Station,2021,Ang Mo Kio,
NE7,Operating,Little India MRT Station,20-Jun-03,"Kallang, Rochor",
DT12,Operating,Little India MRT Station,20-Jun-03,"Kallang, Rochor",
CC14,Operating,Lorong Chuan MRT Station,28-May-09,Serangoon,
CR3,Future,Loyang MRT Station,2029,Pasir Ris,
CC10,Operating,MacPherson MRT Station,17-Apr-10,Geylang,
DT26,Operating,MacPherson MRT Station,17-Apr-10,Geylang,
TE20,Future,Marina Bay MRT Station,4-Nov-89,"Downtown Core, Straits View Planning Area",
CC33,Future,Marina Bay MRT Station,14-Jan-12,"Downtown Core, Straits View Planning Area",
NS27,Operating,Marina Bay MRT Station,4-Nov-89,"Downtown Core, Straits View Planning Area",
CE2,Operating,Marina Bay MRT Station,4-Nov-89,"Downtown Core, Straits View Planning Area",
TE21,Future,Marina South MRT Station,2021,"Marina South, Straits View Planning Area",
NS28,Operating,Marina South Pier MRT Station,23-Nov-14,Straits View Planning Area,Marina South Pier
TE26,Future,Marine Parade MRT Station,2023,Marine Parade,
TE27,Future,Marine Terrace MRT Station,2023,"Bedok, Marine Parade",
NS8,Operating,Marsiling MRT Station,10-Feb-96,Woodlands,
CC16,Operating,Marymount MRT Station,28-May-09,Bishan,
DT25,Operating,Mattar MRT Station,21-Oct-17,Geylang,
TE18,Future,Maxwell MRT Station,2021,"Downtown Core, Outram",
TE6,Future,Mayflower MRT Station,2021,Ang Mo Kio,
TE10,Future,Mount Pleasant MRT Station,2021,Novena,
CC7,Operating,Mountbatten MRT Station,17-Apr-10,"Geylang, Kallang",
JW4,Future,Nanyang Crescent MRT Station,2028,Western Water Catchment,
JW3,Future,Nanyang Gateway MRT Station,2028,Western Water Catchment,
TE12,Future,Napier MRT Station,2021,Tanglin,
NS21,Operating,Newton MRT Station,12-Dec-87,Newton,
DT11,Operating,Newton MRT Station,12-Dec-87,Newton,
CC5,Operating,Nicoll Highway MRT Station,17-Apr-10,Downtown Core,
NS20,Operating,Novena MRT Station,12-Dec-87,Novena,
CC23,Operating,one-north MRT Station,8-Oct-11,Queenstown,
TE13,Future,Orchard Boulevard MRT Station,2021,"Orchard Planning Area, River Valley Planning Area",
TE14,Future,Orchard MRT Station,12-Dec-87,"Orchard Planning Area, River Valley Planning Area",
NS22,Operating,Orchard MRT Station,12-Dec-87,"Orchard Planning Area, River Valley Planning Area",
TE17,Future,Outram Park MRT Station,12-Dec-87,"Bukit Merah, Outram",Kampong Bahru Bus Terminal
EW16,Operating,Outram Park MRT Station,12-Dec-87,"Bukit Merah, Outram",Kampong Bahru Bus Terminal
NE3,Operating,Outram Park MRT Station,12-Dec-87,"Bukit Merah, Outram",Kampong Bahru Bus Terminal
JE7,Future,Pandan Reservoir MRT Station,2027,Jurong East,
CC26,Operating,Pasir Panjang MRT Station,8-Oct-11,Queenstown,
CR4,Future,Pasir Ris East MRT Station,2029,Pasir Ris,
CR5,Future,Pasir Ris MRT Station,16-Dec-89,Pasir Ris,Pasir Ris Bus Interchange
